category,check,description
investigation,reproduce,"Can you reproduce the bug with the given steps?"
investigation,isolate,"Can you narrow down to the specific file/function?"
investigation,recent-changes,"Did git log reveal related recent changes?"
investigation,stack-trace,"Does the error message/stack trace point to root cause?"
root-cause,null-access,"Is a null/undefined value being accessed?"
root-cause,logic-error,"Is there a wrong condition, comparison, or calculation?"
root-cause,race-condition,"Are async operations racing or executing out of order?"
root-cause,type-mismatch,"Is a value a different type than expected?"
root-cause,missing-check,"Is an edge case or boundary condition not handled?"
root-cause,config-issue,"Is a configuration value wrong or missing?"
root-cause,dependency,"Did a dependency update break something?"
root-cause,data-issue,"Is the input data malformed or unexpected?"
fix-quality,minimal,"Is this the smallest possible fix for the root cause?"
fix-quality,no-regression,"Does the fix avoid breaking other functionality?"
fix-quality,test-added,"Is there a test that catches this exact bug?"
fix-quality,related-check,"Were similar patterns checked elsewhere in codebase?"
fix-quality,documented,"Is the fix documented (memory saved, comments added)?"
