category,technique,description
divergent,Free Association,"Rapid-fire idea generation without judgment — say everything that comes to mind, no filtering"
divergent,SCAMPER,"Systematic creativity: Substitute, Combine, Adapt, Modify, Put to other use, Eliminate, Reverse"
divergent,How Might We,"Reframe problems as opportunity questions starting with 'How might we...'"
divergent,Random Stimulation,"Use random words/images as creative triggers to force unexpected connections"
divergent,Reverse Brainstorm,"Ask 'How could we make this WORSE?' then invert answers for solutions"
divergent,What If Scenarios,"Remove constraints: 'What if budget was unlimited?' 'What if time didn't matter?'"
convergent,Dot Voting,"Each person gets 3-5 votes to place on favorite ideas — quick democratic prioritization"
convergent,Impact-Effort Matrix,"Plot ideas on 2x2: High Impact + Low Effort = Quick Wins (do first)"
convergent,Affinity Grouping,"Cluster similar ideas together, name each group, look for themes"
convergent,Six Thinking Hats,"White=facts, Red=emotions, Yellow=benefits, Black=risks, Green=creativity, Blue=process"
analytical,Five Whys,"Ask 'Why?' 5 times to drill down to root cause — essential for problem definition"
analytical,First Principles,"Strip away assumptions, rebuild from fundamental truths"
analytical,Mind Mapping,"Branch ideas from central concept — visual, spatial, connects related thoughts"
analytical,Constraint Mapping,"List all constraints, classify as real vs assumed, find pathways around each"
creative,Analogical Thinking,"'This problem is like...' — transfer solutions from other domains"
creative,Role Playing,"How would Elon Musk solve this? A 5-year-old? Your competitor?"
creative,Time Travel,"How would this be solved in 1950? In 2050? In ancient Rome?"
creative,Worst Possible Idea,"Generate intentionally bad ideas — often reveals hidden good ideas or clarifies constraints"
